Bug ID,Opened,Changed,Reporter,Product,Component,Status,Resolution,Hardware,OS,Severity,Version,Summary,Assignee
895145,7.987523148,0,0.00869518,1,0.039596151,1,0.463742967,0.777251932,0.753588894,0.16600936,0.006993742,59,0.022011551
895251,0.219791667,1183.152002,0.00869518,1,0.039596151,1,0.463742967,0.777251932,0.753588894,0.16600936,0.006993742,53,0.022011551
895588,0.707453704,1231.057569,0.00869518,1,0.155807961,1,0.100278698,0.777251932,0.753588894,0.16600936,0.019351107,48,0.005230467
895804,0.471990741,0,5.43E-05,1,0.039596151,1,0.463742967,0.777251932,0.753588894,0.16600936,0.07488037,74,0.022011551
896115,0.568321759,1231.079792,0.000597794,1,0.155807961,1,0.463742967,0.777251932,0.753588894,0.16600936,0.07488037,48,0.000599324
896156,0.085486111,0,0.000434759,1,0.039596151,1,0.463742967,0.777251932,0.753588894,0.16600936,0.07488037,47,0.022011551
896181,0.042106481,3.47E-05,0.00869518,1,0.039596151,1,0.463742967,0.777251932,0.753588894,0.16600936,0.006993742,64,0.022011551
896619,0.853402778,2414.125208,0.008097386,1,0.155807961,1,0.463742967,0.777251932,0.753588894,0.16600936,0.006993742,41,0.005720824
901959,2.672326389,0,0.002934623,1,0.00557396,1,0.463742967,0.777251932,0.753588894,0.16600936,0.019298522,64,0.002996622
902293,1.089039352,1230.717141,0.001032553,1,0.155807961,1,0.463742967,0.777251932,0.218225798,0.16600936,0.006993742,43,0.036013948
903304,2.273148148,0,0.00233683,1,0.00557396,1,0.463742967,0.777251932,0.753588894,0.16600936,0.019298522,78,0.002996622
903719,0.977476852,0,0.008097386,1,0.039596151,1,0.463742967,0.777251932,0.753588894,0.16600936,0.006993742,41,0.002942138
903813,0.211828704,0,0.00869518,1,0.039596151,1,0.463742967,0.777251932,0.753588894,0.16600936,0.006993742,42,0.022011551
904713,2.482048611,2362.787581,0.007988696,1,0.155807961,1,0.131671662,0.777251932,0.753588894,0.16600936,0.019298522,87,0.095074643
905081,1.230613426,0,0.002445519,1,0.039596151,1,0.463742967,0.777251932,0.753588894,0.16600936,0.019298522,80,0.022011551
905113,0.052233796,1230.620799,0.005488832,1,0.155807961,1,0.463742967,0.777251932,0.753588894,0.16600936,0.006993742,33,0.005230467
905115,0.003113426,0.037291667,0.005488832,1,0.00557396,1,0.463742967,0.777251932,0.753588894,0.16600936,0.006993742,36,0.002996622
906410,2.99037037,0,0.001847726,1,0.039596151,1,0.463742967,0.777251932,0.753588894,0.16600936,0.07488037,46,0.022011551
907259,3.374166667,208.2089931,0.001358622,1,0.021980333,1,0.131671662,0.777251932,0.753588894,0.16600936,0.006993742,69,0.000599324
907367,0.328599537,940.0759375,0.002934623,1,0.039596151,1,0.100278698,0.777251932,0.753588894,0.16600936,0.019298522,48,0.095074643
907854,1.165451389,0,0.002934623,1,0.00557396,1,0.463742967,0.777251932,0.753588894,0.16600936,0.019298522,44,0.002996622
907855,0.001377315,0,0.002934623,1,0.00557396,1,0.096387443,0.777251932,0.753588894,0.16600936,0.019298522,42,0.002996622
907857,0.003206019,0,0.002934623,1,0.00557396,1,0.096387443,0.777251932,0.753588894,0.16600936,0.019298522,88,0.002996622
